metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
cgroup.fd_open,cgroup,open,calls/s,Number of open files,line,,ebpf.plugin,filedescriptor
cgroup.fd_open_error,cgroup,open,calls/s,Fails to open files,line,,ebpf.plugin,filedescriptor
cgroup.fd_closed,cgroup,close,calls/s,Files closed,line,,ebpf.plugin,filedescriptor
cgroup.fd_close_error,cgroup,close,calls/s,Fails to close files,line,,ebpf.plugin,filedescriptor
services.file_open,,a dimension per systemd service,calls/s,Number of open files,stacked,,ebpf.plugin,filedescriptor
services.file_open_error,,a dimension per systemd service,calls/s,Fails to open files,stacked,,ebpf.plugin,filedescriptor
services.file_closed,,a dimension per systemd service,calls/s,Files closed,stacked,,ebpf.plugin,filedescriptor
services.file_close_error,,a dimension per systemd service,calls/s,Fails to close files,stacked,,ebpf.plugin,filedescriptor
apps.file_open,,a dimension per app group,calls/s,Number of open files,stacked,,ebpf.plugin,filedescriptor
apps.file_open_error,,a dimension per app group,calls/s,Fails to open files,stacked,,ebpf.plugin,filedescriptor
apps.file_closed,,a dimension per app group,calls/s,Files closed,stacked,,ebpf.plugin,filedescriptor
apps.file_close_error,,a dimension per app group,calls/s,Fails to close files,stacked,,ebpf.plugin,filedescriptor
filesystem.file_descriptor,,"open, close",calls/s,Open and close calls,line,,ebpf.plugin,filedescriptor
filesystem.file_error,,"open, close",calls/s,Open fails,line,,ebpf.plugin,filedescriptor
system.process_thread,,process,calls/s,Start process,line,,ebpf.plugin,processes
system.process_status,,"process, zombie",difference,Process not closed,line,,ebpf.plugin,processes
system.exit,,process,calls/s,Exit process,line,,ebpf.plugin,processes
system.task_error,,task,calls/s,Fails to create process,line,,ebpf.plugin,processes
apps.process_create,,a dimension per app group,calls/s,Process started,stacked,,ebpf.plugin,processes
apps.thread_create,,a dimension per app group,calls/s,Threads started,stacked,,ebpf.plugin,processes
apps.task_exit,,a dimension per app group,calls/s,Tasks starts exit process,stacked,,ebpf.plugin,processes
apps.task_close,,a dimension per app group,calls/s,Tasks closed,stacked,,ebpf.plugin,processes
apps.task_error,,a dimension per app group,calls/s,Errors to create process or threads,stacked,,ebpf.plugin,processes
cgroup.process_create,cgroup,process,calls/s,Process started,line,,ebpf.plugin,processes
cgroup.thread_create,cgroup,thread,calls/s,Threads started,line,,ebpf.plugin,processes
cgroup.task_exit,cgroup,exit,calls/s,Tasks starts exit process,line,,ebpf.plugin,processes
cgroup.task_close,cgroup,process,calls/s,Tasks closed,line,,ebpf.plugin,processes
