metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
perf.cpu_cycles,,"cpu, ref_cpu",cycles/s,"CPU cycles",line,,perf.plugin,
perf.instructions,,instructions,instructions/s,"Instructions",line,,perf.plugin,
perf.instructions_per_cycle,,ipc,instructions/cycle,"Instructions per Cycle(IPC)",line,,perf.plugin,
perf.branch_instructions,,"instructions, misses",instructions/s,"Branch instructions",line,,perf.plugin,
perf.cache,,"references, misses",operations/s,"Cache operations",line,,perf.plugin,
perf.bus_cycles,,bus,cycles/s,"Bus cycles",line,,perf.plugin,
perf.stalled_cycles,,"frontend, backend",cycles/s,"Stalled frontend and backend cycles",line,,perf.plugin,
perf.migrations,,migrations,migrations,"CPU migrations",line,,perf.plugin,
perf.alignment_faults,,faults,faults,"Alignment faults",line,,perf.plugin,
perf.emulation_faults,,faults,faults,"Emulation faults",line,,perf.plugin,
perf.l1d_cache,,"read_access, read_misses, write_access, write_misses",events/s,"L1D cache operations",line,,perf.plugin,
perf.l1d_cache_prefetch,,prefetches,prefetches/s,"L1D prefetch cache operations",line,,perf.plugin,
perf.l1i_cache,,"read_access, read_misses",events/s,"L1I cache operations",line,,perf.plugin,
perf.ll_cache,,"read_access, read_misses, write_access, write_misses",events/s,"LL cache operations",line,,perf.plugin,
perf.dtlb_cache,,"read_access, read_misses, write_access, write_misses",events/s,"DTLB cache operations",line,,perf.plugin,
perf.itlb_cache,,"read_access, read_misses",events/s,"ITLB cache operations",line,,perf.plugin,
perf.pbu_cache,,read_access,events/s,"PBU cache operations",line,,perf.plugin,
