metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
xenstat.mem,,"free, used",MiB,"Memory Usage",stacked,,xenstat.plugin,
xenstat.domains,,domains,domains,"Number of Domains",line,,xenstat.plugin,
xenstat.cpus,,cpus,cpus,"Number of CPUs",line,,xenstat.plugin,
xenstat.cpu_freq,,frequency,MHz,"CPU Frequency",line,,xenstat.plugin,
xendomain.states,xendomain,"running, blocked, paused, shutdown, crashed, dying",boolean,"Domain States",line,,xenstat.plugin,
xendomain.cpu,xendomain,used,percentage,"CPU Usage (100% = 1 core)",line,,xenstat.plugin,
xendomain.mem,xendomain,"maximum, current",MiB,"Memory Reservation",line,,xenstat.plugin,
xendomain.vcpu,xendomain,a dimension per vcpu,percentage,"CPU Usage per VCPU",line,,xenstat.plugin,
xendomain.oo_req_vbd,"xendomain, vbd",requests,requests/s,"VBD{%u} Out Of Requests",line,,xenstat.plugin,
xendomain.requests_vbd,"xendomain, vbd","read, write",requests/s,"VBD{%u} Requests",line,,xenstat.plugin,
xendomain.sectors_vbd,"xendomain, vbd","read, write",sectors/s,"VBD{%u} Read/Written Sectors",line,,xenstat.plugin,
xendomain.bytes_network,"xendomain, network","received, sent",kilobits/s,"Network{%u} Received/Sent Bytes",line,,xenstat.plugin,
xendomain.packets_network,"xendomain, network","received, sent",packets/s,"Network{%u} Received/Sent Packets",line,,xenstat.plugin,
xendomain.errors_network,"xendomain, network","received, sent",errors/s,"Network{%u} Receive/Transmit Errors",line,,xenstat.plugin,
xendomain.drops_network,"xendomain, network","received, sent",drops/s,"Network{%u} Receive/Transmit Drops",line,,xenstat.plugin,
