+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                          | Value                                                                                                                                          |
+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------+
| Aborted_clients                                        | 0                                                                                                                                              |
| Aborted_connects                                       | 0                                                                                                                                              |
| Aborted_connects_preauth                               | 0                                                                                                                                              |
| Access_denied_errors                                   | 0                                                                                                                                              |
| Acl_column_grants                                      | 0                                                                                                                                              |
| Acl_database_grants                                    | 3                                                                                                                                              |
| Acl_function_grants                                    | 0                                                                                                                                              |
| Acl_procedure_grants                                   | 0                                                                                                                                              |
| Acl_package_spec_grants                                | 0                                                                                                                                              |
| Acl_package_body_grants                                | 0                                                                                                                                              |
| Acl_proxy_users                                        | 1                                                                                                                                              |
| Acl_role_grants                                        | 0                                                                                                                                              |
| Acl_roles                                              | 0                                                                                                                                              |
| Acl_table_grants                                       | 1                                                                                                                                              |
| Acl_users                                              | 6                                                                                                                                              |
| Aria_pagecache_blocks_not_flushed                      | 0                                                                                                                                              |
| Aria_pagecache_blocks_unused                           | 15647                                                                                                                                          |
| Aria_pagecache_blocks_used                             | 13                                                                                                                                             |
| Aria_pagecache_read_requests                           | 306                                                                                                                                            |
| Aria_pagecache_reads                                   | 17                                                                                                                                             |
| Aria_pagecache_write_requests                          | 8                                                                                                                                              |
| Aria_pagecache_writes                                  | 8                                                                                                                                              |
| Aria_transaction_log_syncs                             | 0                                                                                                                                              |
| Binlog_commits                                         | 0                                                                                                                                              |
| Binlog_group_commits                                   | 0                                                                                                                                              |
| Binlog_group_commit_trigger_count                      | 0                                                                                                                                              |
| Binlog_group_commit_trigger_lock_wait                  | 0                                                                                                                                              |
| Binlog_group_commit_trigger_timeout                    | 0                                                                                                                                              |
| Binlog_snapshot_file                                   | mysql-bin.000005                                                                                                                               |
| Binlog_snapshot_position                               | 385                                                                                                                                            |
| Binlog_bytes_written                                   | 183                                                                                                                                            |
