+--------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                                | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
+--------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Aborted_clients                                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Aborted_connects                                             | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Acl_cache_items_count                                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Binlog_snapshot_file                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Binlog_snapshot_position                                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Binlog_cache_disk_use                                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Binlog_cache_use                                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Binlog_snapshot_gtid_executed                                | not-in-consistent-snapshot                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Binlog_stmt_cache_disk_use                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Binlog_stmt_cache_use                                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Bytes_received                                               | 682970                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Bytes_sent                                                   | 33668405                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Com_admin_commands                                           | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Com_assign_to_keycache                                       | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Com_alter_db                                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Com_alter_event                                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
