# Netdata Topology OUI Vendor Dataset
# Generated: 2026-02-26T08:31:44Z
# Sources:
# - ieee_oui https://standards-oui.ieee.org/oui/oui.csv
# - ieee_cid https://standards-oui.ieee.org/cid/cid.csv
# - ieee_oui36 https://standards-oui.ieee.org/oui36/oui36.csv
# - ieee_iab https://standards-oui.ieee.org/iab/iab.csv
# Format: <HEX_PREFIX>\t<VENDOR>
001BC5000	Converging Systems Inc.
001BC5001	OpenRB.com, Direct SIA
001BC5002	GORAMO - Janusz Gorecki
001BC5003	MicroSigns Technologies Inc
001BC5004	Intellvisions Software Ltd
001BC5005	Private
001BC5006	TRIAX-HIRSCHMANN Multi-Media GmbH
001BC5007	Energy Aware Technology
001BC5008	Dalaj Electro-Telecom
001BC5009	Solomon Systech Pte Ltd
001BC500A	Mercury HMI Ltd
001BC500B	Private
001BC500C	Quantum Technology Sciences, Inc.
001BC500D	Advanced Scientific Concepts, Inc.
001BC500E	Vigor Electric Corp
001BC500F	Simavita Pty Ltd
001BC5010	Softel SA de CV
001BC5011	OOO NPP Mera
001BC5012	Tokyo Cosmos Electric, Inc.
001BC5013	Zamir Recognition Systems Ltd.
001BC5014	Private
001BC5015	Corporate Systems Engineering
001BC5016	Energotechnica OOO NPP Ltd
001BC5017	cPacket Networks
001BC5019	Dunlop Systems & Components
001BC501A	ABA ELECTRONICS TECHNOLOGY CO.,LTD
001BC501B	Commonwealth Scientific and Industrial  Research Organisation
001BC501C	Coolit Systems, Inc.
001BC501D	Rose + Herleth GbR
001BC501E	Private
001BC501F	Saturn Solutions Ltd
001BC5020	Momentum Data Systems
001BC5021	Openpeak, Inc
001BC5022	CJSC STC  SIMOS
001BC5023	MAGO di Della Mora Walter
001BC5024	ANNECY ELECTRONIQUE SAS
001BC5025	andersen lighting GmbH
001BC5026	DIMEP Sistemas
001BC5027	CAMEA, spol. s r.o.
001BC5028	STECHWIN.CO.LTD.
001BC5029	2 FRANCE MARINE
001BC502A	Analytical Instrument Systems, Inc.
001BC502B	Saturn South Pty Ltd
001BC502C	Care Everywhere LLC
001BC502D	DDTRONIK Dariusz Dowgiert
001BC502E	BETTINI SRL
001BC502F	Fibrain Co. Ltd.
001BC5030	OctoGate IT Security Systems GmbH
001BC5031	ADIXEIN LIMITED
001BC5032	Osborne Coinage Co
001BC5033	JE Suunnittelu Oy
001BC5034	InterCEL Pty Ltd
001BC5035	RTLS Ltd.
001BC5036	LOMAR SRL
001BC5037	ITW Reyflex North America
001BC5038	SEED International Ltd.
001BC5039	EURESYS S.A.
001BC503A	MindMade Sp. z o.o.
001BC503B	Promixis, LLC
001BC503C	Xiphos Systems Corp.
001BC503D	rioxo GmbH
001BC503E	Daylight  Solutions, Inc
001BC503F	ELTRADE Ltd
001BC5040	OOO Actidata
001BC5041	DesignA Electronics Limited
001BC5042	Chamsys Ltd
001BC5043	Coincident, Inc.
001BC5044	ZAO &quot;RADIUS Avtomatika&quot;
001BC5045	Marvel Digital International Limited
001BC5046	GÉANT
001BC5047	PT. Amanindo Nusapadu
001BC5048	XPossible Technologies Pte Ltd
001BC5049	EUROCONTROL S.p.A.
001BC504A	Certis Technology International Pte Ltd
001BC504B	Silicon Controls
001BC504C	Rhino Controls Ltd.
001BC504D	eiraku electric corp.
001BC504E	Mitsubishi Electric India PVT. LTD
001BC504F	Orbital Systems, Ltd.
001BC5050	TeliSwitch Solutions
001BC5051	QQ Navigation AB
001BC5052	Engineering Center ENERGOSERVICE
001BC5053	Metrycom Communications Ltd
001BC5054	Private
001BC5055	LUMIPLAN TRANSPORT
001BC5056	ThinKom Solutions, Inc
001BC5057	EREE Electronique
001BC5058	optiMEAS GmbH
001BC5059	INPIXAL
001BC505A	POSTEC DATA SYSTEMS
001BC505B	konzeptpark GmbH
001BC505C	Suretrak Global Pty Ltd
001BC505D	JSC Prominform
001BC505E	Ecomed-Complex
001BC505F	Klingenthaler Musikelektronik GmbH
001BC5060	ENSTECH
001BC5061	Scientific-Technical Center "Epsilon" Limited company
001BC5062	Sulaon Oy
001BC5063	Check-It Solutions Inc
001BC5064	Enkora Oy Ltd
001BC5065	Plair Media Inc.
001BC5066	Manufacturas y transformados AB
001BC5067	Embit srl
001BC5068	HCS KABLOLAMA SISTEMLERI SAN. ve TIC.A.S.
001BC5069	Datasat Digital Entertainment
001BC506A	IST GmbH
001BC506B	Verified Energy, LLC.
001BC506C	Luxcon System Limited
001BC506D	TES Electronic Solutions (I) Pvt. Ltd.
001BC506E	Two Dimensional Instruments, LLC
001BC506F	LLC Emzior
001BC5070	Siemens Industries, Inc, Retail & Commercial Systems
001BC5071	Center for E-Commerce Infrastructure Development, The University of Hong Kong
001BC5072	Ohio Semitronics, Inc.
001BC5073	tado GmbH
001BC5074	Dynasthetics
001BC5075	Kitron GmbH
001BC5076	PLAiR Media, Inc
001BC5077	Momentum Data Systems
001BC5078	Donbass Soft Ltd and Co.KG
001BC5079	HPI High Pressure Instrumentation GmbH
001BC507A	Servicios Electronicos Industriales Berbel s.l.
001BC507B	QCORE Medical
001BC507C	head
001BC507D	Greatcom AG
001BC507E	Bio Molecular System Pty Ltd
001BC507F	Hitechlab Inc
001BC5080	LUMINO GmbH
001BC5081	WonATech Co., Ltd.
