upstream_class,upstream_method,upstream_assert_id,local_test,local_assert,status
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0001,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0002,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0003,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0004,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0005,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0006,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0007,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0008,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0009,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0010,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0011,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopology,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopology#A0012,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestBuildL2ResultFromWalks_BRIDGE_NMS7918_ASW01,"require.Equal(t, 40, step1.Stats[""attachments_fdb""])",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopologyRoot,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopologyRoot#A0001,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestParseBridgeStpPortTable_NMS4930,"require.Len(t, ds.Prefix(""1.3.6.1.2.1.17.2.15.1.3.""), 26)",ported
org.opennms.netmgt.enlinkd.BroadcastDomainTest,testCleanTopologyRoot,org.opennms.netmgt.enlinkd.BroadcastDomainTest#testCleanTopologyRoot#A0002,src/go/pkg/topology/engine/parity/l2_builder_test.go::TestParseBridgeStpPortTable_NMS4930,"require.Len(t, ds.Prefix(""1.3.6.1.2.1.17.2.15.1.3.""), 26)",ported
