.1.3.6.1.2.1.1.1.0 = STRING: Juniper Networks, Inc. mx240 internet router, kernel JUNOS 11.1R6.4 #0: 2011-11-04 09:48:26 UTC     builder@briath.juniper.net:/volume/build/junos/11.1/release/11.1R6.4/obj-i386/bsd/kernels/JUNIPER/kernel Build date: 2011-11-04 09:28:26 UTC Copyright (c)
.1.3.6.1.2.1.1.2.0 = OID: .1.3.6.1.4.1.2636.1.1.1.2.29
.1.3.6.1.2.1.1.3.0 = Timeticks: (24343901) 2 days, 19:37:19.01
.1.3.6.1.2.1.1.4.0 = STRING: 
.1.3.6.1.2.1.1.5.0 = STRING: Delhi
.1.3.6.1.2.1.1.6.0 = STRING: 
.1.3.6.1.2.1.1.7.0 = INTEGER: 6
.1.3.6.1.2.1.2.1.0 = INTEGER: 76
.1.3.6.1.2.1.2.2.1.1.1 = INTEGER: 1
.1.3.6.1.2.1.2.2.1.1.4 = INTEGER: 4
.1.3.6.1.2.1.2.2.1.1.5 = INTEGER: 5
.1.3.6.1.2.1.2.2.1.1.6 = INTEGER: 6
.1.3.6.1.2.1.2.2.1.1.7 = INTEGER: 7
.1.3.6.1.2.1.2.2.1.1.8 = INTEGER: 8
.1.3.6.1.2.1.2.2.1.1.9 = INTEGER: 9
.1.3.6.1.2.1.2.2.1.1.10 = INTEGER: 10
.1.3.6.1.2.1.2.2.1.1.11 = INTEGER: 11
.1.3.6.1.2.1.2.2.1.1.12 = INTEGER: 12
.1.3.6.1.2.1.2.2.1.1.13 = INTEGER: 13
.1.3.6.1.2.1.2.2.1.1.16 = INTEGER: 16
.1.3.6.1.2.1.2.2.1.1.17 = INTEGER: 17
.1.3.6.1.2.1.2.2.1.1.18 = INTEGER: 18
.1.3.6.1.2.1.2.2.1.1.21 = INTEGER: 21
.1.3.6.1.2.1.2.2.1.1.22 = INTEGER: 22
.1.3.6.1.2.1.2.2.1.1.23 = INTEGER: 23
.1.3.6.1.2.1.2.2.1.1.24 = INTEGER: 24
.1.3.6.1.2.1.2.2.1.1.267 = INTEGER: 267
.1.3.6.1.2.1.2.2.1.1.268 = INTEGER: 268
.1.3.6.1.2.1.2.2.1.1.269 = INTEGER: 269
.1.3.6.1.2.1.2.2.1.1.270 = INTEGER: 270
.1.3.6.1.2.1.2.2.1.1.271 = INTEGER: 271
.1.3.6.1.2.1.2.2.1.1.272 = INTEGER: 272
.1.3.6.1.2.1.2.2.1.1.273 = INTEGER: 273
.1.3.6.1.2.1.2.2.1.1.274 = INTEGER: 274
.1.3.6.1.2.1.2.2.1.1.275 = INTEGER: 275
.1.3.6.1.2.1.2.2.1.1.276 = INTEGER: 276
.1.3.6.1.2.1.2.2.1.1.277 = INTEGER: 277
.1.3.6.1.2.1.2.2.1.1.278 = INTEGER: 278
.1.3.6.1.2.1.2.2.1.1.279 = INTEGER: 279
.1.3.6.1.2.1.2.2.1.1.280 = INTEGER: 280
.1.3.6.1.2.1.2.2.1.1.281 = INTEGER: 281
.1.3.6.1.2.1.2.2.1.1.282 = INTEGER: 282
.1.3.6.1.2.1.2.2.1.1.283 = INTEGER: 283
.1.3.6.1.2.1.2.2.1.1.284 = INTEGER: 284
.1.3.6.1.2.1.2.2.1.1.285 = INTEGER: 285
.1.3.6.1.2.1.2.2.1.1.501 = INTEGER: 501
.1.3.6.1.2.1.2.2.1.1.502 = INTEGER: 502
.1.3.6.1.2.1.2.2.1.1.829 = INTEGER: 829
