+--------------------------------------------------------+--------------------------------------------------+
| Variable_name                                          | Value                                            |
+--------------------------------------------------------+--------------------------------------------------+
| Aborted_clients                                        | 1                                                |
| Aborted_connects                                       | 2                                                |
| Aborted_connects_preauth                               | 0                                                |
| Access_denied_errors                                   | 2                                                |
| Acl_column_grants                                      | 0                                                |
| Acl_database_grants                                    | 3                                                |
| Acl_function_grants                                    | 0                                                |
| Acl_procedure_grants                                   | 0                                                |
| Acl_package_spec_grants                                | 0                                                |
| Acl_package_body_grants                                | 0                                                |
| Acl_proxy_users                                        | 1                                                |
| Acl_role_grants                                        | 0                                                |
| Acl_roles                                              | 0                                                |
| Acl_table_grants                                       | 1                                                |
| Acl_users                                              | 4                                                |
| Aria_pagecache_blocks_not_flushed                      | 7                                                |
| Aria_pagecache_blocks_unused                           | 15630                                            |
| Aria_pagecache_blocks_used                             | 17                                               |
| Aria_pagecache_read_requests                           | 78                                               |
| Aria_pagecache_reads                                   | 19                                               |
| Aria_pagecache_write_requests                          | 8                                                |
| Aria_pagecache_writes                                  | 0                                                |
| Aria_transaction_log_syncs                             | 6                                                |
| Binlog_commits                                         | 0                                                |
| Binlog_group_commits                                   | 0                                                |
| Binlog_group_commit_trigger_count                      | 0                                                |
| Binlog_group_commit_trigger_lock_wait                  | 0                                                |
| Binlog_group_commit_trigger_timeout                    | 0                                                |
| Binlog_snapshot_file                                   | mysql-bin.000002                                 |
| Binlog_snapshot_position                               | 1806                                             |
| Binlog_bytes_written                                   | 1842                                             |
| Binlog_cache_disk_use                                  | 0                                                |
| Binlog_cache_use                                       | 0                                                |
| Binlog_stmt_cache_disk_use                             | 0                                                |
| Binlog_stmt_cache_use                                  | 0                                                |
| Busy_time                                              | 0.000000                                         |
| Bytes_received                                         | 81392                                            |
| Bytes_sent                                             | 56794                                            |
| Column_compressions                                    | 0                                                |
| Column_decompressions                                  | 0                                                |
| Com_admin_commands                                     | 0                                                |
| Com_alter_db                                           | 0                                                |
| Com_alter_db_upgrade                                   | 0                                                |
| Com_alter_event                                        | 0                                                |
| Com_alter_function                                     | 0                                                |
| Com_alter_procedure                                    | 0                                                |
| Com_alter_server                                       | 0                                                |
| Com_alter_sequence                                     | 0                                                |
| Com_alter_table                                        | 0                                                |
| Com_alter_user                                         | 0                                                |
| Com_analyze                                            | 0                                                |
| Com_assign_to_keycache                                 | 0                                                |
| Com_backup                                             | 0                                                |
| Com_backup_lock                                        | 0                                                |
| Com_begin                                              | 0                                                |
| Com_binlog                                             | 0                                                |
| Com_call_procedure                                     | 0                                                |
| Com_change_db                                          | 0                                                |
| Com_change_master                                      | 0                                                |
| Com_check                                              | 0                                                |
| Com_checksum                                           | 0                                                |
| Com_commit                                             | 0                                                |
| Com_compound_sql                                       | 0                                                |
| Com_create_db                                          | 1                                                |
| Com_create_event                                       | 0                                                |
| Com_create_function                                    | 0                                                |
| Com_create_index                                       | 0                                                |
| Com_create_package                                     | 0                                                |
| Com_create_package_body                                | 0                                                |
| Com_create_procedure                                   | 0                                                |
| Com_create_role                                        | 0                                                |
| Com_create_sequence                                    | 0                                                |
| Com_create_server                                      | 0                                                |
| Com_create_table                                       | 0                                                |
| Com_create_temporary_table                             | 0                                                |
| Com_create_trigger                                     | 0                                                |
| Com_create_udf                                         | 0                                                |
| Com_create_user                                        | 3                                                |
| Com_create_view                                        | 0                                                |
| Com_dealloc_sql                                        | 0                                                |
| Com_delete                                             | 0                                                |
| Com_delete_multi                                       | 0                                                |
| Com_do                                                 | 0                                                |
| Com_drop_db                                            | 0                                                |
| Com_drop_event                                         | 0                                                |
| Com_drop_function                                      | 0                                                |
| Com_drop_index                                         | 0                                                |
| Com_drop_procedure                                     | 0                                                |
| Com_drop_package                                       | 0                                                |
| Com_drop_package_body                                  | 0                                                |
| Com_drop_role                                          | 0                                                |
| Com_drop_server                                        | 0                                                |
| Com_drop_sequence                                      | 0                                                |
| Com_drop_table                                         | 0                                                |
| Com_drop_temporary_table                               | 0                                                |
| Com_drop_trigger                                       | 0                                                |
| Com_drop_user                                          | 0                                                |
