authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
ceph_AsyncMessenger_RDMADispatcher_active_queue_pair	ceph_AsyncMessenger_RDMADispatcher_active_queue_pair	ceph_AsyncMessenger_RDMADispatcher_active_queue_pair	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	saturation/state	Active Queue Pairs (queue pairs); source meaning: Created queue pair number	single-population chart; no cross-family arithmetic	source-current lifecycle -> raw current value -> absolute -> queue pairs; counted/measured object: Active Queue Pairs / active_queue_pair	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Active Queue Pairs [active_queue_pairs; queue pairs; absolute]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:68
ceph_AsyncMessenger_RDMADispatcher_async_last_wqe_events	ceph_AsyncMessenger_RDMADispatcher_async_last_wqe_events	ceph_AsyncMessenger_RDMADispatcher_async_last_wqe_events	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Asynchronous Events (events/s); source meaning: The number of last wqe events	source-verified shared population and rendered algebra for Asynchronous Events; comparable dimensions: async_last_wqe_events, total_async_events	source-cumulative lifecycle -> raw total -> incremental (Netdata rate/reset) -> events/s; counted/measured object: Asynchronous Events / async_last_wqe_events	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Asynchronous Events [async_events; events/s; incremental]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:62
ceph_AsyncMessenger_RDMADispatcher_created_queue_pair	ceph_AsyncMessenger_RDMADispatcher_created_queue_pair	ceph_AsyncMessenger_RDMADispatcher_created_queue_pair	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	saturation/state	Created Queue Pairs (queue pairs/s); source meaning: Active queue pair number	single-population chart; no cross-family arithmetic	source-cumulative lifecycle -> raw total -> incremental (Netdata rate/reset) -> queue pairs/s; counted/measured object: Created Queue Pairs / created_queue_pair	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Created Queue Pairs [created_queue_pairs; queue pairs/s; incremental]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:67
ceph_AsyncMessenger_RDMADispatcher_handshake_errors	ceph_AsyncMessenger_RDMADispatcher_handshake_errors	ceph_AsyncMessenger_RDMADispatcher_handshake_errors	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	error/outcome	RDMA Errors (errors/s); source meaning: The number of handshake errors	source-verified shared population and rendered algebra for RDMA Errors; comparable dimensions: rdmadispatcher_handshake_errors, rdmadispatcher_rx_total_wc_errors, rdmadispatcher_tx_retry_errors, rdmadispatcher_tx_total_wc_errors, rdmadispatcher_tx_wr_flush_errors	source-cumulative lifecycle -> raw total -> incremental (Netdata rate/reset) -> errors/s; counted/measured object: RDMA Errors / rdmadispatcher_handshake_errors	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / RDMA Errors [rdma_errors; errors/s; incremental]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:64
ceph_AsyncMessenger_RDMADispatcher_inflight_tx_chunks	ceph_AsyncMessenger_RDMADispatcher_inflight_tx_chunks	ceph_AsyncMessenger_RDMADispatcher_inflight_tx_chunks	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	saturation/state	In-Flight Transmit Chunks (chunks); source meaning: The number of inflight tx chunks	single-population chart; no cross-family arithmetic	source-current lifecycle -> raw current value -> absolute -> chunks; counted/measured object: In-Flight Transmit Chunks / inflight_tx_chunks	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / In-Flight Transmit Chunks [inflight_tx_chunks; chunks; absolute]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:48
ceph_AsyncMessenger_RDMADispatcher_polling	ceph_AsyncMessenger_RDMADispatcher_polling	ceph_AsyncMessenger_RDMADispatcher_polling	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Polling State (state); source meaning: Whether dispatcher thread is polling	single-population chart; no cross-family arithmetic	source-current lifecycle -> raw current value -> absolute -> state; counted/measured object: Polling State / polling	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Polling State [polling_state; state; absolute]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:47
ceph_AsyncMessenger_RDMADispatcher_rx_bufs_in_use	ceph_AsyncMessenger_RDMADispatcher_rx_bufs_in_use	ceph_AsyncMessenger_RDMADispatcher_rx_bufs_in_use	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Receive Buffers (buffers); source meaning: The number of rx buffers that are holding data and being processed	source-verified shared population and rendered algebra for Receive Buffers; comparable dimensions: rx_bufs_in_use, rx_bufs	source-current lifecycle -> raw current value -> absolute -> buffers; counted/measured object: Receive Buffers / rx_bufs_in_use	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Receive Buffers [receive_buffers; buffers; absolute]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:49
ceph_AsyncMessenger_RDMADispatcher_rx_bufs_total	ceph_AsyncMessenger_RDMADispatcher_rx_bufs_total	ceph_AsyncMessenger_RDMADispatcher_rx_bufs_total	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Receive Buffers (buffers); source meaning: The total number of rx buffers	source-verified shared population and rendered algebra for Receive Buffers; comparable dimensions: rx_bufs_in_use, rx_bufs	source-current lifecycle -> raw current value -> absolute -> buffers; counted/measured object: Receive Buffers / rx_bufs	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Receive Buffers [receive_buffers; buffers; absolute]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:50
ceph_AsyncMessenger_RDMADispatcher_rx_fin	ceph_AsyncMessenger_RDMADispatcher_rx_fin	ceph_AsyncMessenger_RDMADispatcher_rx_fin	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Received FIN Messages (messages/s); source meaning: The number of rx finish work request	single-population chart; no cross-family arithmetic	source-cumulative lifecycle -> raw total -> incremental (Netdata rate/reset) -> messages/s; counted/measured object: Received FIN Messages / rx_fin	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Received FIN Messages [received_fin_messages; messages/s; incremental]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:59
ceph_AsyncMessenger_RDMADispatcher_rx_total_wc	ceph_AsyncMessenger_RDMADispatcher_rx_total_wc	ceph_AsyncMessenger_RDMADispatcher_rx_total_wc	counter	ceph_daemon	Ceph/Daemon Exporters/Messenger	*	workload/outcome	Work Completions (completions/s); source meaning: The number of total rx work completion	source-verified shared population and rendered algebra for Work Completions; comparable dimensions: rx_total_wc, tx_total_wc	source-cumulative lifecycle -> raw total -> incremental (Netdata rate/reset) -> completions/s; counted/measured object: Work Completions / rx_total_wc	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ceph Reef/Squid/Tentacle producer and daemon/module role as registered; priority threshold and feature gates may apply	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	Ceph/Daemon Exporters/Messenger / Work Completions [work_completions; completions/s; incremental]	ceph/ceph @ efac5a54607c13fa50d4822e50242b86e6e446df; src/msg/async/rdma/RDMAStack.cc:57
