authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
litellm_active_users	litellm_active_users	litellm_active_users	gauge	pid	LiteLLM/Callbacks and Inventory/Inventory	*	state/configuration	Number of billable users in LiteLLM (excludes SCIM-deactivated users)	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw gauge -> absolute -> users; counted/measured object: Number of billable users in LiteLLM (excludes SCIM-deactivated users)	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Callbacks and Inventory/Inventory / User Inventory [user_inventory; users; absolute]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_api_key_budget_remaining_hours_metric	litellm_api_key_budget_remaining_hours_metric	litellm_api_key_budget_remaining_hours_metric	gauge	api_key_alias,hashed_api_key,pid	LiteLLM/Governance/API Keys	*	capacity/resource	Remaining hours for api key budget to be reset	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw gauge -> absolute -> hours; counted/measured object: Remaining hours for api key budget to be reset	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	budget tracking	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Governance/API Keys / API-Key Budget Reset Window [api_key_budget_reset_window; hours; absolute]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_api_key_max_budget_metric	litellm_api_key_max_budget_metric	litellm_api_key_max_budget_metric	gauge	api_key_alias,hashed_api_key,pid	LiteLLM/Governance/API Keys	*	capacity/resource	Maximum budget set for api key	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw gauge -> absolute -> USD; counted/measured object: Maximum budget set for api key	all emitted labels are instance identity; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	budget tracking	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Governance/API Keys / API-Key Budget [api_key_budget; USD; absolute]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_failed_requests_created	litellm_auth_failed_requests_created	litellm_auth_failed_requests_created	gauge	auth,error_class,function_name	<excluded>	<none>	error/outcome	Total failed_requests for auth service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=auth,error_class,function_name; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_failed_requests_total	litellm_auth_failed_requests_total	litellm_auth_failed_requests_total	counter	auth,error_class,function_name	LiteLLM/Internal Services	<global>	error/outcome	Total failed_requests for auth service	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> failures/s; counted/measured object: Total failed_requests for auth service	identity=<global>; remaining=auth,error_class,function_name retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Failures [internal_service_failures; failures/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_latency_bucket	litellm_auth_latency_bucket	litellm_auth_latency	histogram	auth,le	LiteLLM/Internal Services	<global>	latency	Latency for auth service	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Latency for auth service	identity=<global>; remaining=auth,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Authentication Latency Distribution [auth_latency_distribution; observations/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_latency_count	litellm_auth_latency_count	litellm_auth_latency	histogram	auth,le	LiteLLM/Internal Services	<global>	latency	Latency for auth service	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> requests/s; counted/measured object: Latency for auth service	identity=<global>; remaining=auth,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Latency Measurements [internal_service_latency_measurements; requests/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_latency_sum	litellm_auth_latency_sum	litellm_auth_latency	histogram	auth,le	LiteLLM/Internal Services	<global>	latency	Latency for auth service	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> seconds/s; counted/measured object: Latency for auth service	identity=<global>; remaining=auth,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Accumulated Internal Service Latency [accumulated_internal_service_latency; seconds/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_latency_created	litellm_auth_latency_created	litellm_auth_latency_created	gauge	auth	<excluded>	<none>	latency	Latency for auth service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=auth; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_total_requests_created	litellm_auth_total_requests_created	litellm_auth_total_requests_created	gauge	auth	<excluded>	<none>	workload/outcome	Total total_requests for auth service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=auth; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_auth_total_requests_total	litellm_auth_total_requests_total	litellm_auth_total_requests_total	counter	auth	LiteLLM/Internal Services	<global>	workload/outcome	Total total_requests for auth service	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> requests/s; counted/measured object: Total total_requests for auth service	identity=<global>; remaining=auth retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Requests [internal_service_requests; requests/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_failed_requests_created	litellm_batch_write_to_db_failed_requests_created	litellm_batch_write_to_db_failed_requests_created	gauge	batch_write_to_db,error_class,function_name	<excluded>	<none>	error/outcome	Total failed_requests for batch_write_to_db service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=batch_write_to_db,error_class,function_name; no chart identity/dimension role	managed batch callback	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_failed_requests_total	litellm_batch_write_to_db_failed_requests_total	litellm_batch_write_to_db_failed_requests_total	counter	batch_write_to_db,error_class,function_name	LiteLLM/Internal Services	<global>	error/outcome	Total failed_requests for batch_write_to_db service	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> failures/s; counted/measured object: Total failed_requests for batch_write_to_db service	identity=<global>; remaining=batch_write_to_db,error_class,function_name retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Failures [internal_service_failures; failures/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_latency_bucket	litellm_batch_write_to_db_latency_bucket	litellm_batch_write_to_db_latency	histogram	batch_write_to_db,le	LiteLLM/Internal Services	<global>	latency	Latency for batch_write_to_db service	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Latency for batch_write_to_db service	identity=<global>; remaining=batch_write_to_db,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Batch Database Write Latency Distribution [batch_write_to_db_latency_distribution; observations/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_latency_count	litellm_batch_write_to_db_latency_count	litellm_batch_write_to_db_latency	histogram	batch_write_to_db,le	LiteLLM/Internal Services	<global>	latency	Latency for batch_write_to_db service	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> requests/s; counted/measured object: Latency for batch_write_to_db service	identity=<global>; remaining=batch_write_to_db,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Latency Measurements [internal_service_latency_measurements; requests/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_latency_sum	litellm_batch_write_to_db_latency_sum	litellm_batch_write_to_db_latency	histogram	batch_write_to_db,le	LiteLLM/Internal Services	<global>	latency	Latency for batch_write_to_db service	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> seconds/s; counted/measured object: Latency for batch_write_to_db service	identity=<global>; remaining=batch_write_to_db,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Accumulated Internal Service Latency [accumulated_internal_service_latency; seconds/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
