authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
http_request_duration_highr_seconds_bucket	http_request_duration_highr_seconds_bucket	http_request_duration_highr_seconds	histogram	le	vLLM/HTTP Service	<global>	latency	Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	identity=<global>; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Service / High-Resolution HTTP Request Duration [request_duration; observations/s; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_highr_seconds_count	http_request_duration_highr_seconds_count	http_request_duration_highr_seconds	histogram	le	vLLM/HTTP Service	<global>	latency	Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> requests/s; counted/measured object: Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	identity=<global>; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Service / HTTP Request Measurements [request_measurements; requests/s; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_highr_seconds_sum	http_request_duration_highr_seconds_sum	http_request_duration_highr_seconds	histogram	le	vLLM/HTTP Service	<global>	latency	Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> in-flight; counted/measured object: Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	identity=<global>; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Service / HTTP Request Concurrency [request_concurrency; in-flight; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_highr_seconds_created	http_request_duration_highr_seconds_created	http_request_duration_highr_seconds_created	gauge		<excluded>	<none>	latency	Latency with many buckets but no API specific labels. Made for more accurate percentile calculations.	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=<none>; no chart identity/dimension role	HTTP server instrumentation	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_seconds_bucket	http_request_duration_seconds_bucket	http_request_duration_seconds	histogram	handler,le,method	vLLM/HTTP Endpoints	handler,method	latency	Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	identity=handler,method; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Endpoints / HTTP Request Duration [request_duration; observations/s; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_seconds_count	http_request_duration_seconds_count	http_request_duration_seconds	histogram	handler,le,method	vLLM/HTTP Endpoints	handler,method	latency	Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> requests/s; counted/measured object: Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	identity=handler,method; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Endpoints / HTTP Request Measurements [request_measurements; requests/s; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_seconds_sum	http_request_duration_seconds_sum	http_request_duration_seconds	histogram	handler,le,method	vLLM/HTTP Endpoints	handler,method	latency	Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> in-flight; counted/measured object: Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	identity=handler,method; remaining=le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	HTTP server instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HTTP Endpoints / HTTP Request Concurrency [request_concurrency; in-flight; incremental]	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_duration_seconds_created	http_request_duration_seconds_created	http_request_duration_seconds_created	gauge	handler,method	<excluded>	<none>	latency	Latency with only few buckets by handler. Made to be only used if aggregation by handler is important.	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=handler,method; no chart identity/dimension role	HTTP server instrumentation	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_size_bytes	http_request_size_bytes,http_request_size_bytes_count,http_request_size_bytes_sum	http_request_size_bytes	summary	handler	<excluded>	<none>	workload/outcome	Content length of incoming requests by handler. Only value of header is respected. Otherwise ignored. No percentile calculated.	summary quantile component; same observation population as the family bucket/quantile, count, and sum components	raw summary; no rendered unit because writer-ineligible	source labels=handler; no chart identity/dimension role	HTTP server instrumentation	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	writer-ineligible	collector writer exclusion; metadata-only or structurally unsupported source shape	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
http_request_size_bytes_created	http_request_size_bytes_created	http_request_size_bytes_created	gauge	handler	<excluded>	<none>	workload/outcome	Content length of incoming requests by handler. Only value of header is respected. Otherwise ignored. No percentile calculated.	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=handler; no chart identity/dimension role	HTTP server instrumentation	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	vllm-project/vllm @ dc818c198d3ff50a16f38eba567da006478239c8; vllm/v1/metrics/{loggers,perf}.py
