authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
ray_vllm_cache_config_info	ray_vllm_cache_config_info	ray_vllm_cache_config_info	gauge	Component,ReplicaId,SessionName,Version,WorkerId,_block_size_resolved,block_size,cache_dtype,calculate_kv_scales,enable_prefix_caching,engine,gpu_memory_utilization,hash_block_size,is_attention_free,kv_cache_dtype_skip_layers,kv_cache_max_concurrency,kv_cache_memory_bytes,kv_cache_size_tokens,kv_offloading_backend,kv_offloading_size,kv_sharing_fast_prefill,mamba_block_size,mamba_cache_dtype,mamba_cache_mode,mamba_page_size_padded,mamba_ssm_cache_dtype,num_cpu_blocks,num_gpu_blocks,num_gpu_blocks_override,prefix_caching_hash_algo,skip_page_size_padded,sliding_window,user_specified_block_size,user_specified_mamba_block_size	<excluded>	<none>	state/configuration	Information of the LLMEngine CacheConfig	metadata-only information family; writer contract does not retain this shape	raw gauge; no rendered unit because writer-ineligible	source labels=Component,ReplicaId,SessionName,Version,WorkerId,_block_size_resolved,block_size,cache_dtype,calculate_kv_scales,enable_prefix_caching,engine,gpu_memory_utilization,hash_block_size,is_attention_free,kv_cache_dtype_skip_layers,kv_cache_max_concurrency,kv_cache_memory_bytes,kv_cache_size_tokens,kv_offloading_backend,kv_offloading_size,kv_sharing_fast_prefill,mamba_block_size,mamba_cache_dtype,mamba_cache_mode,mamba_page_size_padded,mamba_ssm_cache_dtype,num_cpu_blocks,num_gpu_blocks,num_gpu_blocks_override,prefix_caching_hash_algo,skip_page_size_padded,sliding_window,user_specified_block_size,user_specified_mamba_block_size; no chart identity/dimension role	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	writer-ineligible	collector writer exclusion; metadata-only or structurally unsupported source shape	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_corrupted_requests	ray_vllm_corrupted_requests	ray_vllm_corrupted_requests	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	error/outcome	Deprecated Ray counter compatibility gauge: Corrupted requests, in terms of total number of requests with NaNs in logits.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_corrupted_requests_total	ray_vllm_corrupted_requests_total	ray_vllm_corrupted_requests_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Request Lifecycle	model_name,engine,ReplicaId,WorkerId	error/outcome	Corrupted requests, in terms of total number of requests with NaNs in logits.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> requests/s; counted/measured object: Corrupted requests, in terms of total number of requests with NaNs in logits.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Request Lifecycle / Corrupted Requests [corrupted_requests; requests/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_canvas_positions	ray_vllm_diffusion_num_canvas_positions	ray_vllm_diffusion_num_canvas_positions	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	domain signal	Deprecated Ray counter compatibility gauge: Number of canvas positions evaluated.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_canvas_positions_total	ray_vllm_diffusion_num_canvas_positions_total	ray_vllm_diffusion_num_canvas_positions_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Diffusion Decoding	model_name,engine,ReplicaId,WorkerId	domain signal	Number of canvas positions evaluated.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> positions/s; counted/measured object: Number of canvas positions evaluated.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Diffusion Decoding / Diffusion Canvas Positions [canvas_positions; positions/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_committed_tokens	ray_vllm_diffusion_num_committed_tokens	ray_vllm_diffusion_num_committed_tokens	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	workload/outcome	Deprecated Ray counter compatibility gauge: Number of committed (finalized) tokens.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_committed_tokens_total	ray_vllm_diffusion_num_committed_tokens_total	ray_vllm_diffusion_num_committed_tokens_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Diffusion Decoding	model_name,engine,ReplicaId,WorkerId	workload/outcome	Number of committed (finalized) tokens.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: Number of committed (finalized) tokens.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Diffusion Decoding / Diffusion Committed Tokens [committed_tokens; tokens/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_denoising_steps	ray_vllm_diffusion_num_denoising_steps	ray_vllm_diffusion_num_denoising_steps	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	domain signal	Deprecated Ray counter compatibility gauge: Number of denoising steps.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_diffusion_num_denoising_steps_total	ray_vllm_diffusion_num_denoising_steps_total	ray_vllm_diffusion_num_denoising_steps_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Diffusion Decoding	model_name,engine,ReplicaId,WorkerId	domain signal	Number of denoising steps.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> steps/s; counted/measured object: Number of denoising steps.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Diffusion Decoding / Diffusion Denoising Steps [denoising_steps; steps/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_e2e_request_latency_seconds_bucket	ray_vllm_e2e_request_latency_seconds_bucket	ray_vllm_e2e_request_latency_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/Request Lifecycle	model_name,engine,ReplicaId,WorkerId	latency	Histogram of e2e request latency in seconds.	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Histogram of e2e request latency in seconds.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Request Lifecycle / End-to-End Request Latency [end_to_end_latency; observations/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
