+-------------------+---------------+-----------+-----------+-----------+---------+---------+----------+----------+-----------+-----------+---------+--------+---------+----------+
| Command           | Total_Time_us | Total_cnt | cnt_100us | cnt_500us | cnt_1ms | cnt_5ms | cnt_10ms | cnt_50ms | cnt_100ms | cnt_500ms | cnt_1s  | cnt_5s | cnt_10s | cnt_INFs |
+-------------------+---------------+-----------+-----------+-----------+---------+---------+----------+----------+-----------+-----------+---------+--------+---------+----------+
| ALTER_TABLE       | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| ALTER_VIEW        | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| ANALYZE_TABLE     | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| BEGIN             | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CALL              | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CHANGE_MASTER     | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| COMMIT            | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_DATABASE   | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_INDEX      | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_TABLE      | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_TEMPORARY  | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_TRIGGER    | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_USER       | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| CREATE_VIEW       | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
