zk_version	3.6.1--104dcb3e3fb464b30c5186d229e00af9f332524b, built on 04/21/2020 15:01 GMT
zk_server_state	standalone
zk_ephemerals_count	0
zk_min_latency	0.1
zk_avg_latency	0.1
zk_num_alive_connections	1
zk_max_file_descriptor_count	1048576
zk_outstanding_requests	0
zk_approximate_data_size	44
zk_znode_count	5
zk_open_file_descriptor_count	63
zk_global_sessions	0
zk_local_sessions	0
zk_uptime	27595191
zk_last_client_response_size	-1
zk_max_latency	0.1
zk_packets_sent	182
zk_outstanding_tls_handshake	0
zk_packets_received	92
zk_max_client_response_size	-1
zk_connection_drop_probability	0.0
zk_watch_count	0
zk_min_client_response_size	-1
zk_proposal_count	0
zk_outstanding_changes_removed	0
zk_stale_requests_dropped	0
zk_large_requests_rejected	0
zk_connection_rejected	0
zk_sessionless_connections_expired	0
zk_looking_count	0
zk_dead_watchers_queued	0
zk_stale_requests	0
zk_connection_drop_count	0
zk_learner_proposal_received_count	0
zk_digest_mismatches_count	0
zk_dead_watchers_cleared	0
zk_response_packet_cache_hits	0
zk_bytes_received_count	368
zk_add_dead_watcher_stall_time	0
zk_request_throttle_wait_count	0
zk_response_packet_cache_misses	0
zk_ensemble_auth_success	0
zk_prep_processor_request_queued	0
zk_learner_commit_received_count	0
zk_stale_replies	0
zk_connection_request_count	0
zk_ensemble_auth_fail	0
zk_diff_count	0
zk_response_packet_get_children_cache_misses	0
zk_connection_revalidate_count	0
zk_quit_leading_due_to_disloyal_voter	0
zk_snap_count	0
zk_unrecoverable_error_count	0
zk_commit_count	0
zk_stale_sessions_expired	0
zk_response_packet_get_children_cache_hits	0
zk_sync_processor_request_queued	0
zk_outstanding_changes_queued	0
zk_request_commit_queued	0
zk_ensemble_auth_skip	0
zk_tls_handshake_exceeded	0
zk_revalidate_count	0
zk_avg_node_created_watch_count	0.0
zk_min_node_created_watch_count	0
zk_max_node_created_watch_count	0
zk_cnt_node_created_watch_count	0
zk_sum_node_created_watch_count	0
zk_avg_session_queues_drained	0.0
zk_min_session_queues_drained	0
zk_max_session_queues_drained	0
zk_cnt_session_queues_drained	0
zk_sum_session_queues_drained	0
zk_avg_write_commit_proc_req_queued	0.0
zk_min_write_commit_proc_req_queued	0
zk_max_write_commit_proc_req_queued	0
zk_cnt_write_commit_proc_req_queued	0
zk_sum_write_commit_proc_req_queued	0
zk_avg_connection_token_deficit	0.0
zk_min_connection_token_deficit	0
zk_max_connection_token_deficit	0
zk_cnt_connection_token_deficit	0
zk_sum_connection_token_deficit	0
zk_avg_read_commit_proc_req_queued	0.0
zk_min_read_commit_proc_req_queued	0
zk_max_read_commit_proc_req_queued	0
zk_cnt_read_commit_proc_req_queued	0
zk_sum_read_commit_proc_req_queued	0
zk_avg_node_deleted_watch_count	0.0
zk_min_node_deleted_watch_count	0
