zk_version	3.9.3-c26634f34490bb0ea7a09cc51e05ede3b4e320ee, built on 2024-10-17 23:21 UTC
zk_server_state	standalone
zk_ephemerals_count	0
zk_num_alive_connections	1
zk_avg_latency	0.0
zk_outstanding_requests	0
zk_znode_count	5
zk_global_sessions	0
zk_non_mtls_remote_conn_count	0
zk_last_client_response_size	-1
zk_packets_sent	1353
zk_packets_received	452
zk_max_client_response_size	-1
zk_connection_drop_probability	0.0
zk_watch_count	0
zk_auth_failed_count	0
zk_min_latency	0
zk_max_file_descriptor_count	1048576
zk_approximate_data_size	44
zk_open_file_descriptor_count	77
zk_local_sessions	0
zk_uptime	488178
zk_max_latency	0
zk_outstanding_tls_handshake	0
zk_min_client_response_size	-1
zk_non_mtls_local_conn_count	0
zk_watch_bytes	0
zk_stale_requests_dropped	0
zk_throttled_ops	0
zk_insecure_admin_count	0
zk_connection_rejected	0
zk_sessionless_connections_expired	0
zk_dead_watchers_queued	0
zk_stale_requests	0
zk_connection_drop_count	0
zk_response_packet_cache_hits	0
zk_bytes_received_count	1808
zk_add_dead_watcher_stall_time	0
zk_request_throttle_wait_count	0
zk_requests_not_forwarded_to_commit_processor	0
zk_response_packet_cache_misses	0
zk_prep_processor_request_queued	0
zk_stale_replies	0
zk_response_bytes	0
zk_ensemble_auth_fail	0
zk_diff_count	0
zk_connection_revalidate_count	0
zk_quit_leading_due_to_disloyal_voter	0
zk_unrecoverable_error_count	0
zk_unsuccessful_handshake	0
zk_commit_count	0
zk_outstanding_changes_queued	0
zk_request_commit_queued	0
zk_ensemble_auth_skip	0
zk_skip_learner_request_to_next_processor_count	0
zk_proposal_count	0
zk_large_requests_rejected	0
zk_outstanding_changes_removed	0
zk_restore_error_count	0
zk_cnxn_closed_without_zk_server_running	0
zk_looking_count	0
zk_snapshot_rate_limited_count	0
zk_learner_proposal_received_count	0
zk_digest_mismatches_count	0
zk_dead_watchers_cleared	0
zk_ensemble_auth_success	0
zk_learner_commit_received_count	0
zk_snapshot_error_count	0
zk_connection_request_count	0
zk_response_packet_get_children_cache_misses	0
zk_snap_count	0
zk_stale_sessions_expired	0
zk_restore_rate_limited_count	0
zk_response_packet_get_children_cache_hits	0
zk_sync_processor_request_queued	0
zk_tls_handshake_exceeded	0
zk_revalidate_count	0
zk_avg_socket_closing_time	0.0
zk_min_socket_closing_time	0
zk_max_socket_closing_time	0
zk_cnt_socket_closing_time	0
zk_sum_socket_closing_time	0
zk_avg_proposal_process_time	0.0
zk_min_proposal_process_time	0
zk_max_proposal_process_time	0
zk_cnt_proposal_process_time	0
zk_sum_proposal_process_time	0
zk_avg_leader_unavailable_time	0.0
zk_min_leader_unavailable_time	0
zk_max_leader_unavailable_time	0
zk_cnt_leader_unavailable_time	0
zk_sum_leader_unavailable_time	0
zk_avg_node_created_watch_count	0.0
