"metric","value"
"AsynchronousMetricsCalculationTimeSpent",0.003263409
"NumberOfDetachedByUserParts",0
"NumberOfDetachedParts",0
"AsynchronousHeavyMetricsCalculationTimeSpent",1.6e-7
"TotalPrimaryKeyBytesInMemoryAllocated",342740
"TotalPartsOfMergeTreeTablesSystem",26
"TotalRowsOfMergeTreeTablesSystem",72275588
"TotalBytesOfMergeTreeTablesSystem",66552963
"TotalRowsOfMergeTreeTables",72275588
"TotalBytesOfMergeTreeTables",66552963
"NumberOfDatabases",4
"MaxPartCountForPartition",7
"ReplicasSumMergesInQueue",0
"ReplicasSumInsertsInQueue",0
"ReplicasSumQueueSize",0
"ReplicasMaxInsertsInQueue",0
"ReplicasMaxQueueSize",0
"DiskUnreserved_default",165498056704
"DiskAvailable_default",165498056704
"DiskUsed_default",45181276160
"FilesystemLogsPathAvailableINodes",12209636
"FilesystemLogsPathUsedBytes",45181276160
"FilesystemLogsPathAvailableBytes",165498056704
"FilesystemLogsPathTotalBytes",210679332864
"FilesystemMainPathUsedINodes",847436
"FilesystemMainPathAvailableBytes",165498056704
"AsynchronousHeavyMetricsUpdateInterval",120.000112
"HashTableStatsCacheMisses",35
"OSNiceTimeCPU2",0
"Uptime",64380.292003818
"FilesystemCacheBytes",0
"OSSoftIrqTimeCPU0",0.0199978602289555
"QueryCacheEntries",0
"QueryCacheBytes",0
"IndexMarkCacheBytes",0
"OSNiceTimeCPU10",0
"UncompressedCacheCells",0
"UncompressedCacheBytes",0
"IndexUncompressedCacheCells",0
"HTTPThreads",1
"InterserverThreads",0
"PageCacheBytes",0
"OSSoftIrqTimeCPU3",0
"VMNumMaps",3034
"BlockWriteTime_sr0",0
"NetworkSendDrop_veth22b9458",0
"NetworkSendBytes_veth22b9458",0
"CPUFrequencyMHz_11",2000
"NetworkReceiveDrop_veth22b9458",0
"OSSystemTimeCPU13",0
"NetworkReceiveBytes_veth22b9458",0
"BlockWriteOps_dm-0",0
"NetworkSendErrors_vethe1fd940",0
"OSGuestNiceTimeCPU9",0
"NetworkSendPackets_vethe1fd940",0
"BlockReadMerges_dm-0",0
"NetworkSendBytes_vethe1fd940",0
"NetworkReceiveDrop_vethe1fd940",0
"OSUserTimeCPU5",0
"NetworkSendDrop_veth0cdb608",0
"NetworkReceiveErrors_veth0cdb608",0
"CPUFrequencyMHz_2",2000
"OSGuestNiceTime",0
"NetworkReceivePackets_veth0cdb608",0
"CompiledExpressionCacheCount",5
"NetworkSendDrop_veth8415c5c",0
"NetworkReceiveErrors_veth8415c5c",0
"OSUserTimeCPU9",0
"NetworkReceivePackets_veth8415c5c",0
"NetworkReceiveBytes_veth8415c5c",0
"NetworkSendPackets_vethfa2b7f2",0
"NetworkSendErrors_vethb608e1b",0
"OSNiceTimeCPU8",0
"NetworkReceiveDrop_vethb608e1b",0
"OSIOWaitTimeCPU7",0
"NetworkReceiveErrors_vethe1fd940",0
"NetworkReceiveErrors_vethb608e1b",0
"CompiledExpressionCacheBytes",65536
"NetworkSendDrop_vethfa2b7f2",0
"IndexUncompressedCacheBytes",0
"CPUFrequencyMHz_12",2000
"NetworkSendBytes_vethfa2b7f2",0
"NetworkReceiveDrop_vethfa2b7f2",0
"NetworkSendErrors_veth0cdb608",0
"OSSystemTimeCPU7",0
"NetworkReceivePackets_vethfa2b7f2",0
"OSThreadsTotal",1432
"NetworkSendBytes_docker0",0
"NetworkReceiveDrop_docker0",0
"OSIOWaitTimeCPU2",0
"NetworkReceiveBytes_vethb608e1b",0
"OSIOWaitTimeCPU10",0
"NetworkReceiveBytes_vethfa2b7f2",0
"jemalloc.epoch",64382
"NetworkReceiveErrors_docker0",0
"OSGuestNiceTimeCPU6",0
"NetworkSendDrop_br-392a8d0e2863",0
"OSStealTimeCPU13",0
"NetworkSendErrors_br-392a8d0e2863",0
"NetworkSendBytes_br-392a8d0e2863",0
"NetworkReceiveBytes_veth0cdb608",0
"NetworkReceiveBytes_br-392a8d0e2863",0
"NetworkSendDrop_dummy0",0
"jemalloc.retained",94481276928
"NetworkSendPackets_dummy0",0
"NetworkSendBytes_dummy0",0
"OSStealTimeCPU3",0
"NetworkReceiveErrors_dummy0",0
"NetworkReceivePackets_dummy0",0
"NetworkReceiveBytes_dummy0",0
"NetworkReceiveBytes_vethe1fd940",0
"OSUserTimeCPU6",0
"NetworkSendDrop_ens18",0
"NetworkSendErrors_ens18",0
"OSNiceTimeNormalized",0
"NetworkReceiveErrors_ens18",0
"BlockQueueTime_sr0",0
"FilesystemCacheFiles",0
"BlockActiveTime_dm-0",0
"BlockActiveTime_sr0",0
"BlockInFlightOps_sr0",0
"BlockDiscardTime_sr0",0
"OSGuestNiceTimeCPU1",0
"BlockReadBytes_sr0",0
"BlockDiscardMerges_sr0",0
"BlockReadMerges_sr0",0
"OSSoftIrqTimeCPU1",0
"BlockDiscardTime_dm-0",0
"OSUserTimeCPU7",0.00999893011447775
"BlockWriteBytes_dm-0",0
"BlockReadBytes_dm-0",0
"OSContextSwitches",5242
"FilesystemMainPathAvailableINodes",12209636
"BlockDiscardOps_dm-0",0
"BlockWriteTime_dm-0",0
"BlockQueueTime_sda",0
"OSIrqTimeCPU11",0
"BlockActiveTime_sda",0
"OSIrqTimeCPU4",0
"NetworkSendPackets_ens18",3
"BlockDiscardTime_sda",0
"Jitter",0.000107
"BlockReadBytes_sda",0
"BlockDiscardMerges_sda",0
"NetworkSendErrors_veth8415c5c",0
"BlockReadMerges_sda",0
"NetworkSendPackets_br-392a8d0e2863",0
"BlockDiscardOps_sda",0
"BlockWriteOps_sda",0
"OSSystemTimeCPU8",0
"CPUFrequencyMHz_15",2000
"CPUFrequencyMHz_14",2000
