+---------------------------------------------+----------------+
| Variable_Name                               | Variable_Value |
+---------------------------------------------+----------------+
| ProxySQL_Uptime                             | 26748286       |
| Active_Transactions                         | 0              |
| Client_Connections_aborted                  | 2              |
| Client_Connections_connected                | 3              |
| Client_Connections_created                  | 5458991        |
| Server_Connections_aborted                  | 9979           |
| Server_Connections_connected                | 13             |
| Server_Connections_created                  | 2122254        |
| Server_Connections_delayed                  | 0              |
| Client_Connections_non_idle                 | 3              |
| Queries_backends_bytes_recv                 | 5896210168     |
| Queries_backends_bytes_sent                 | 4329581500     |
| Queries_frontends_bytes_recv                | 7434816962     |
| Queries_frontends_bytes_sent                | 11643634097    |
| Query_Processor_time_nsec                   | 0              |
| Backend_query_time_nsec                     | 0              |
| mysql_backend_buffers_bytes                 | 0              |
| mysql_frontend_buffers_bytes                | 196608         |
| mysql_session_internal_bytes                | 20232          |
| Com_autocommit                              | 0              |
| Com_autocommit_filtered                     | 0              |
| Com_commit                                  | 0              |
| Com_commit_filtered                         | 0              |
| Com_rollback                                | 0              |
| Com_rollback_filtered                       | 0              |
| Com_backend_change_user                     | 188694         |
| Com_backend_init_db                         | 0              |
| Com_backend_set_names                       | 1517893        |
| Com_frontend_init_db                        | 2              |
| Com_frontend_set_names                      | 0              |
| Com_frontend_use_db                         | 0              |
| Com_backend_stmt_prepare                    | 16858208       |
| Com_backend_stmt_execute                    | 36303146       |
| Com_backend_stmt_close                      | 0              |
| Com_frontend_stmt_prepare                   | 32185987       |
| Com_frontend_stmt_execute                   | 36314138       |
| Com_frontend_stmt_close                     | 32137933       |
| Mirror_concurrency                          | 0              |
| Mirror_queue_length                         | 0              |
| Questions                                   | 100638067      |
| Selects_for_update__autocommit0             | 0              |
| Slow_queries                                | 405818         |
| GTID_consistent_queries                     | 0              |
| GTID_session_collected                      | 0              |
| Servers_table_version                       | 37             |
| MySQL_Thread_Workers                        | 4              |
| Access_Denied_Wrong_Password                | 2              |
| Access_Denied_Max_Connections               | 0              |
| Access_Denied_Max_User_Connections          | 0              |
| MySQL_Monitor_Workers                       | 10             |
| MySQL_Monitor_Workers_Aux                   | 0              |
| MySQL_Monitor_Workers_Started               | 10             |
| MySQL_Monitor_connect_check_OK              | 3548306        |
| MySQL_Monitor_connect_check_ERR             | 130            |
| MySQL_Monitor_ping_check_OK                 | 21289849       |
| MySQL_Monitor_ping_check_ERR                | 108271         |
| MySQL_Monitor_read_only_check_OK            | 106246409      |
| MySQL_Monitor_read_only_check_ERR           | 19610          |
| MySQL_Monitor_replication_lag_check_OK      | 28702388       |
| MySQL_Monitor_replication_lag_check_ERR     | 482            |
| ConnPool_get_conn_latency_awareness         | 0              |
| ConnPool_get_conn_immediate                 | 13361          |
| ConnPool_get_conn_success                   | 36319474       |
| ConnPool_get_conn_failure                   | 212943         |
| generated_error_packets                     | 231            |
| max_connect_timeouts                        | 227            |
| backend_lagging_during_query                | 8880           |
| backend_offline_during_query                | 8              |
| queries_with_max_lag_ms                     | 0              |
| queries_with_max_lag_ms__delayed            | 0              |
| queries_with_max_lag_ms__total_wait_time_us | 0              |
| mysql_unexpected_frontend_com_quit          | 0              |
| Client_Connections_hostgroup_locked         | 0              |
| hostgroup_locked_set_cmds                   | 0              |
| hostgroup_locked_queries                    | 0              |
| mysql_unexpected_frontend_packets           | 0              |
| aws_aurora_replicas_skipped_during_query    | 0              |
| automatic_detected_sql_injection            | 0              |
| whitelisted_sqli_fingerprint                | 0              |
| mysql_killed_backend_connections            | 0              |
| mysql_killed_backend_queries                | 0              |
| MyHGM_myconnpoll_get                        | 36519056       |
| MyHGM_myconnpoll_get_ok                     | 36306113       |
| MyHGM_myconnpoll_push                       | 37358734       |
| MyHGM_myconnpoll_destroy                    | 15150          |
| MyHGM_myconnpoll_reset                      | 2              |
| SQLite3_memory_bytes                        | 6021248        |
| ConnPool_memory_bytes                       | 932248         |
| Stmt_Client_Active_Total                    | 18             |
| Stmt_Client_Active_Unique                   | 18             |
| Stmt_Server_Active_Total                    | 101            |
| Stmt_Server_Active_Unique                   | 39             |
| Stmt_Max_Stmt_id                            | 66             |
| Stmt_Cached                                 | 65             |
| Query_Cache_Memory_bytes                    | 0              |
| Query_Cache_count_GET                       | 0              |
| Query_Cache_count_GET_OK                    | 0              |
| Query_Cache_count_SET                       | 0              |
| Query_Cache_bytes_IN                        | 0              |
| Query_Cache_bytes_OUT                       | 0              |
| Query_Cache_Purged                          | 0              |
| Query_Cache_Entries                         | 0              |
+---------------------------------------------+----------------+
